Date,AAPL,AMZN,GOOG,META,MSFT,SPY
2015-01-02,24.192596435546875,15.425999641418457,25.955556869506836,77.83916473388672,39.76768112182617,170.12496948242188
2015-01-05,23.511058807373047,15.10949993133545,25.414501190185547,76.58897399902344,39.40199661254883,167.0526123046875
2015-01-06,23.513275146484375,14.76449966430664,24.82546615600586,75.55706787109375,38.823673248291016,165.47914123535156
2015-01-07,23.842981338500977,14.920999526977539,24.782936096191406,75.55706787109375,39.31693649291992,167.54124450683594
2015-01-08,24.759082794189453,15.02299976348877,24.861074447631836,77.57125854492188,40.47356033325195,170.51422119140625
2015-01-09,24.785640716552734,14.846500396728516,24.539108276367188,77.13468933105469,40.13338851928711,169.14781188964844
2015-01-12,24.174901962280273,14.570500373840332,24.360074996948242,76.12263488769531,39.63161087036133,167.8227081298828
2015-01-13,24.389537811279297,14.737000465393066,24.53960609436035,75.85472869873047,39.42750930786133,167.3507537841797
2015-01-14,24.296611785888672,14.66349983215332,24.77155876159668,75.68605041503906,39.08732223510742,166.3404083251953
2015-01-15,23.637195587158203,14.34749984741211,24.817060470581055,73.47342681884766,38.67909240722656,164.8166961669922
2015-01-16,23.453527450561523,14.536999702453613,25.128141403198242,74.59461975097656,39.32544708251953,166.97805786132812
2015-01-20,24.057619094848633,14.472000122070312,25.06978416442871,75.6463623046875,39.45301055908203,167.3341522216797
2015-01-21,24.241283416748047,14.862500190734863,25.62073516845703,76.14246368408203,39.053287506103516,168.17889404296875
2015-01-22,24.871931076049805,15.515999794006348,26.42935562133789,77.0453872680664,40.08235549926758,170.6798858642578
2015-01-23,25.00027847290039,15.619500160217285,26.70433807373047,77.2239761352539,40.12488555908203,169.74407958984375
2015-01-26,25.02682876586914,15.482999801635742,26.469913482666016,76.89656829833984,39.98031997680664,170.14161682128906
2015-01-27,24.150558471679688,15.337499618530273,25.649911880493164,75.18994140625,36.28077697753906,167.89736938476562
2015-01-28,25.515865325927734,15.195500373840332,25.223100662231445,75.6463623046875,35.030601501464844,165.74411010742188
2015-01-29,26.31026268005371,15.58899974822998,25.2557430267334,77.39265441894531,35.72799301147461,167.27621459960938
2015-01-30,25.92522621154785,17.726499557495117,26.435791015625,75.3189468383789,34.358734130859375,165.1727294921875
2015-02-02,26.250511169433594,18.223499298095703,26.137067794799805,74.40609741210938,35.107147216796875,167.21827697753906
2015-02-03,26.254941940307617,18.177499771118164,26.174654006958008,74.81290435791016,35.37928771972656,169.63638305664062
2015-02-04,26.456302642822266,18.237499237060547,25.85417366027832,75.04112243652344,35.58340835571289,168.99044799804688
2015-02-05,26.645137786865234,18.694499969482422,26.092557907104492,75.02128601074219,36.1021842956543,170.69638061523438
2015-02-06,26.4207706451416,18.714000701904297,26.261699676513672,73.89014434814453,36.06816482543945,170.22438049316406
2015-02-09,26.59626579284668,18.527999877929688,26.104921340942383,73.8603744506836,36.025638580322266,169.46250915527344
2015-02-10,27.10721206665039,18.649999618530273,26.55547523498535,74.60454559326172,36.229759216308594,171.2678680419922
2015-02-11,27.74257469177246,18.756999969482422,26.50750160217285,75.91426849365234,36.04265213012695,171.36721801757812
2015-02-12,28.093578338623047,18.85849952697754,26.851722717285156,75.63644409179688,36.646484375,173.01522827148438
2015-02-13,28.231313705444336,19.09149932861328,27.152421951293945,75.15026092529297,37.309844970703125,173.72735595703125
2015-02-17,28.39792823791504,18.771499633789062,26.847272872924805,75.01134490966797,37.32698440551758,174.00067138671875
2015-02-18,28.59564971923828,18.668500900268555,26.691978454589844,76.11270141601562,37.284141540527344,174.0172576904297
2015-02-19,28.53566551208496,18.950000762939453,26.8487548828125,78.80160522460938,37.258445739746094,173.89305114746094
2015-02-20,28.768922805786133,19.183000564575195,26.654884338378906,79.2778549194336,37.56679916381836,174.9365692138672
2015-02-23,29.54646873474121,19.006999969482422,26.306705474853516,78.22612762451172,37.815185546875,174.9116668701172
2015-02-24,29.362070083618164,18.929500579833984,26.513437271118164,77.83916473388672,37.7637939453125,175.40853881835938
